event_id,event_name,year_start,year_end,year_label,date_label,date_detail,period_id,period_name,broad_era,category,location_ids,location_names,person_ids,person_names,description_short,description_long,importance_score
E0012,"Kinh Dương Vương was succeeded as Hùng king of Xích Quỷ, since renamed Văn Lang, by his son Lạc Long Quân",-2793,,2793 BCE,2793 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,PE001;PE002,Kinh Dương Vương; Lạc Long Quân,"Kinh Dương Vương was succeeded as Hùng king of Xích Quỷ, since renamed Văn Lang, by his son Lạc Long Quân.","Kinh Dương Vương was succeeded as Hùng king of Xích Quỷ, since renamed Văn Lang, by his son Lạc Long Quân.",3
E0013,lunar calendar came into use in Văn Lang,-2637,,2637 BCE,2637 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The lunar calendar came into use in Văn Lang.,The lunar calendar came into use in Văn Lang.,2
E0014,first Hùng king of the Cấn line came to power in Văn Lang,-2524,,2524 BCE,2524 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Cấn line came to power in Văn Lang.,The first Hùng king of the Cấn line came to power in Văn Lang.,3
E0015,Hùng king ordered an increase in rice cultivation,-2500,,2500 BCE,2500 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The Hùng king ordered an increase in rice cultivation.,The Hùng king ordered an increase in rice cultivation.,3
E0016,last Hùng king of the Cấn line ended his rule of Văn Lang,-2253,,2253 BCE,2253 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Cấn line ended his rule of Văn Lang.,The last Hùng king of the Cấn line ended his rule of Văn Lang.,4
E0017,first Hùng king of the Chấn line came to power in Văn Lang,-2252,,2252 BCE,2252 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Chấn line came to power in Văn Lang.,The first Hùng king of the Chấn line came to power in Văn Lang.,3
E0018,earliest surviving artifacts indicating use of the Vietnamese calendar appeared,-2200,,2200 BCE,2200 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The earliest surviving artifacts indicating use of the Vietnamese calendar appeared.,The earliest surviving artifacts indicating use of the Vietnamese calendar appeared.,3
E0019,Phùng Nguyên culture appeared,-2000,,2000 BCE,2000 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The Phùng Nguyên culture appeared.,The Phùng Nguyên culture appeared.,3
E0020,last Hùng king of the Chấn line ended his rule of Văn Lang,-1913,,1913 BCE,1913 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Chấn line ended his rule of Văn Lang.,The last Hùng king of the Chấn line ended his rule of Văn Lang.,4
E0021,first Hùng king of the Tốn line came to power in Văn Lang,-1912,,1912 BCE,1912 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Tốn line came to power in Văn Lang.,The first Hùng king of the Tốn line came to power in Văn Lang.,3
E0022,first Hùng king of the Ly line came to power in Văn Lang,-1712,,1712 BCE,1712 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Ly line came to power in Văn Lang.,The first Hùng king of the Ly line came to power in Văn Lang.,3
E0023,Burial rituals and tomb building came into practice,-1700,,1700 BCE,1700 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Other,,,,,Burial rituals and tomb building came into practice.,Burial rituals and tomb building came into practice.,2
E0024,first Hùng king of the Khôn line came to power in Văn Lang,-1631,,1631 BCE,1631 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Khôn line came to power in Văn Lang.,The first Hùng king of the Khôn line came to power in Văn Lang.,3
E0025,Đồng Đậu culture appeared,-1500,,1500 BCE,1500 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The Đồng Đậu culture appeared.,The Đồng Đậu culture appeared.,3
E0026,sophisticated agricultural society developed on the Vietnamese coast,-1500,,1500 BCE,1500 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Economy,,,,,A sophisticated agricultural society developed on the Vietnamese coast.,A sophisticated agricultural society developed on the Vietnamese coast.,2
E0027,last Hùng king of the Khôn line ended his rule of Văn Lang,-1432,,1432 BCE,1432 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Khôn line ended his rule of Văn Lang.,The last Hùng king of the Khôn line ended his rule of Văn Lang.,4
E0028,first Hùng king of the Đoài line came to power in Văn Lang,-1431,,1431 BCE,1431 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Đoài line came to power in Văn Lang.,The first Hùng king of the Đoài line came to power in Văn Lang.,3
E0029,first Hùng king of the Giáp line came to power in Văn Lang,-1331,,1331 BCE,1331 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Giáp line came to power in Văn Lang.,The first Hùng king of the Giáp line came to power in Văn Lang.,3
E0030,Lạc Việt discovered bronze casting,-1200,,1200 BCE,1200 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The Lạc Việt discovered bronze casting.,The Lạc Việt discovered bronze casting.,2
E0031,Irrigation was first used in rice cultivation in the plains of the Mã and Red Rivers,-1200,,1200 BCE,1200 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Economy,,,,,Irrigation was first used in rice cultivation in the plains of the Mã and Red Rivers.,Irrigation was first used in rice cultivation in the plains of the Mã and Red Rivers.,2
E0032,last Hùng king of the Ất line ended his rule of Văn Lang,-1162,,1162 BCE,1162 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Ất line ended his rule of Văn Lang.,The last Hùng king of the Ất line ended his rule of Văn Lang.,4
E0033,first Hùng king of the Bính line came to power in Văn Lang,-1161,,1161 BCE,1161 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Bính line came to power in Văn Lang.,The first Hùng king of the Bính line came to power in Văn Lang.,3
E0034,Gò Mun culture appeared,-1100,,1100 BCE,1100 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The Gò Mun culture appeared.,The Gò Mun culture appeared.,3
E0035,last Hùng king of the Bính line ended his rule of Văn Lang,-1055,,1055 BCE,1055 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Bính line ended his rule of Văn Lang.,The last Hùng king of the Bính line ended his rule of Văn Lang.,4
E0036,first Hùng king of the Đinh line came to power in Văn Lang,-1054,,1054 BCE,1054 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Đinh line came to power in Văn Lang.,The first Hùng king of the Đinh line came to power in Văn Lang.,3
E0037,Đông Sơn culture appeared in the valley of the Red River,-1000,,1000 BCE,1000 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The Đông Sơn culture appeared in the valley of the Red River.,The Đông Sơn culture appeared in the valley of the Red River.,3
E0038,"Copper casting began to be used in Văn Lang in the manufacture of brass tools, weapons, and ornaments",-1000,,1000 BCE,1000 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,"Copper casting began to be used in Văn Lang in the manufacture of brass tools, weapons, and ornaments.","Copper casting began to be used in Văn Lang in the manufacture of brass tools, weapons, and ornaments.",3
E0039,population of Văn Lang reached one million,-1000,,1000 BCE,1000 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Society,,,,,The population of Văn Lang reached one million.,The population of Văn Lang reached one million.,2
E0040,Lạc Việt developed observational astronomy,-1000,,1000 BCE,1000 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Other,,,,,The Lạc Việt developed observational astronomy.,The Lạc Việt developed observational astronomy.,2
E0041,last Hùng king of the Đinh line ended his rule of Văn Lang,-969,,969 BCE,969 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Đinh line ended his rule of Văn Lang.,The last Hùng king of the Đinh line ended his rule of Văn Lang.,4
E0042,first Hùng king of the Mậu line came to power in Văn Lang,-968,,968 BCE,968 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Mậu line came to power in Văn Lang.,The first Hùng king of the Mậu line came to power in Văn Lang.,3
E0043,first Hùng king of the Kỷ line came to power in Văn Lang,-853,,853 BCE,853 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Kỷ line came to power in Văn Lang.,The first Hùng king of the Kỷ line came to power in Văn Lang.,3
E0389,Bách Việt groups faced territorial pressure and migration during the Spring and Autumn–Warring States period,-800,-300,800 BCE,800 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Territory,L004,Red River Delta,,,"From about the 8th to 3rd centuries BCE, Việt groups south of the Yangtze faced pressure from Chu and Qin and migration from northern Chinese populations.","The Vietnamese narrative source describes territorial loss, assimilation, and fragmentation among different Việt groups during the Spring and Autumn–Warring States period.",3
E0390,Independent Việt polities formed south of the Yangtze,-800,-300,800 BCE,800 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,L004,Red River Delta,,,"Different Việt polities such as Văn Lang, Nam Việt, Âu Lạc, Mân Việt and Đông Việt formed in different southern regions.",The source frames this as a broad transformation from loose Việt groups into separate polities from the 8th century BCE onward.,3
E0044,first Hùng king of the Canh line came to power in Văn Lang,-754,,754 BCE,754 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Canh line came to power in Văn Lang.,The first Hùng king of the Canh line came to power in Văn Lang.,3
E0045,Refugees from the increasingly fragile Zhou dynasty began to arrive in the Red River Delta,-700,,700 BCE,700 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Society,L004,Red River Delta,,,Refugees from the increasingly fragile Zhou dynasty began to arrive in the Red River Delta.,Refugees from the increasingly fragile Zhou dynasty began to arrive in the Red River Delta.,3
E0391,Văn Lang likely formed as a Lạc Việt kingdom,-700,-258,700 BCE,700 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,L006;L001;L004,Phong Châu;Northern Vietnam;Red River Delta,,Hùng kings,Modern research and archaeological evidence are described as broadly supporting a Văn Lang kingdom around the 7th century BCE.,"The source notes that Văn Lang likely existed in the midland and northern delta region, including Thanh Hóa, Nghệ An and Hà Tĩnh.",5
E0392,Văn Lang organized a 15-bộ administrative system,-700,-258,700 BCE,700 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,L001;L004,Northern Vietnam;Red River Delta,,Hùng kings,"Văn Lang's early monarchy was described as having Hùng kings, Lạc hầu, Lạc tướng and 15 bộ, with villages managed by Bồ chính.",This is useful for the dashboard because it captures early state organization rather than only battles or dynastic changes.,4
E0046,last Hùng king of the Canh line ended his rule of Văn Lang,-661,,661 BCE,661 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Canh line ended his rule of Văn Lang.,The last Hùng king of the Canh line ended his rule of Văn Lang.,4
E0047,first Hùng king of the Tân line came to power in Văn Lang,-660,,660 BCE,660 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Tân line came to power in Văn Lang.,The first Hùng king of the Tân line came to power in Văn Lang.,3
E0048,metallurgical style unique to the Đông Sơn drums was invented,-600,,600 BCE,600 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Other,,,,,The metallurgical style unique to the Đông Sơn drums was invented.,The metallurgical style unique to the Đông Sơn drums was invented.,2
E0049,elaborate system of canals and dikes was invented which made possible the tidal irrigation of rice fields,-600,,600 BCE,600 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Economy,,,,,An elaborate system of canals and dikes was invented which made possible the tidal irrigation of rice fields.,An elaborate system of canals and dikes was invented which made possible the tidal irrigation of rice fields.,2
E0050,last Hùng king of the Tân line ended his rule of Văn Lang,-569,,569 BCE,569 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Tân line ended his rule of Văn Lang.,The last Hùng king of the Tân line ended his rule of Văn Lang.,4
E0051,first Hùng king of the Nhâm line came to power in Văn Lang,-568,,568 BCE,568 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The first Hùng king of the Nhâm line came to power in Văn Lang.,The first Hùng king of the Nhâm line came to power in Văn Lang.,3
E0052,earliest artifacts suggesting the celebration of Tết appeared,-500,,500 BCE,500 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Culture,,,,,The earliest artifacts suggesting the celebration of Tết appeared.,The earliest artifacts suggesting the celebration of Tết appeared.,3
E0053,King Goujian of Yue sent messengers to Văn Lang demanding submission,-470,,470 BCE,470 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,PE004,King Goujian of Yue,King Goujian of Yue sent messengers to Văn Lang demanding submission.,King Goujian of Yue sent messengers to Văn Lang demanding submission.,3
E0054,last Hùng king of the Nhâm line ended his rule of Văn Lang,-470,,470 BCE,470 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,,,The last Hùng king of the Nhâm line ended his rule of Văn Lang.,The last Hùng king of the Nhâm line ended his rule of Văn Lang.,4
E0055,Hùng Duệ Vương became Hùng king of Văn Lang,-408,,408 BCE,408 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Politics,,,PE003,Hùng Duệ Vương,Hùng Duệ Vương became Hùng king of Văn Lang.,Hùng Duệ Vương became Hùng king of Văn Lang.,3
E0056,mass migration of refugees to the Red River Delta took place due to the ongoing collapse of the Zhou dynasty,-400,,400 BCE,400 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Society,L004,Red River Delta,,,A mass migration of refugees to the Red River Delta took place due to the ongoing collapse of the Zhou dynasty.,A mass migration of refugees to the Red River Delta took place due to the ongoing collapse of the Zhou dynasty.,2
E0057,Buddhist missionaries from Maurya Empire arrived in Văn Lang,-300,,300 BCE,300 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Religion,,,,,Buddhist missionaries from Maurya Empire arrived in Văn Lang.,Buddhist missionaries from Maurya Empire arrived in Văn Lang.,2
E0058,Âu Việt settled across the northern border of Văn Lang and opened trade relations with the Lạc Việt,-300,,300 BCE,300 BCE,,P003,Văn Lang / Hùng Kings,Ancient Vietnam,Economy,,,,,The Âu Việt settled across the northern border of Văn Lang and opened trade relations with the Lạc Việt.,The Âu Việt settled across the northern border of Văn Lang and opened trade relations with the Lạc Việt.,2
E0059,"Thục Phán, ruler of the Âu Việt, invaded and conquered Văn Lang",-257,,257 BCE,257 BCE,,P004,Âu Lạc,Ancient Vietnam,Military,L008,Cổ Loa Citadel,PE005,Thục Phán,"Thục Phán, ruler of the Âu Việt, invaded and conquered Văn Lang. He renamed the country Âu Lạc and took the regnal name An Dương Vương, ruling as king from Cổ Loa Citadel.","Thục Phán, ruler of the Âu Việt, invaded and conquered Văn Lang. He renamed the country Âu Lạc and took the regnal name An Dương Vương, ruling as king from Cổ Loa Citadel.",5
E0060,Hùng Temple was built,-250,,250 BCE,250 BCE,,P004,Âu Lạc,Ancient Vietnam,Religion,L007,Hùng Temple,,,The Hùng Temple was built.,The Hùng Temple was built.,2
E0393,Âu Việt–Lạc Việt alliance resisted Qin invasion,-214,-208,214 BCE,214 BCE,,P004,Âu Lạc,Ancient Vietnam,Military,L008;L001,Cổ Loa;Northern Vietnam,PE005,Thục Phán,The source states that the Âu Việt–Lạc Việt alliance defeated a Qin invasion before or during the formation of Âu Lạc.,"The exact chronology is debated in Vietnamese historiography, so this row should be treated as approximate.",4
E0061,Battle of Tiên Du took place,-210,,210 BCE,210 BCE,,P004,Âu Lạc,Ancient Vietnam,Military,,,,,The Battle of Tiên Du took place.,The Battle of Tiên Du took place.,3
E0394,Triệu Đà conquered Âu Lạc,-208,-179,208 BCE,208 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,L008;L015,Cổ Loa;Phiên Ngung,PE006;PE005,Triệu Đà;An Dương Vương,Triệu Đà annexed Âu Lạc; the source gives 208 BCE or 179 BCE as possible dates.,The date is disputed in the source. I used a range from 208 BCE to 179 BCE rather than choosing only one year.,5
E0062,Qin general Zhao Tuo captured Cổ Loa Citadel,-207,,207 BCE,207 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Military,L008,Cổ Loa Citadel,PE005;PE006,Thục Phán; Zhao Tuo,The Qin general Zhao Tuo captured Cổ Loa Citadel. An Dương Vương fled and later committed suicide.,The Qin general Zhao Tuo captured Cổ Loa Citadel. An Dương Vương fled and later committed suicide.,4
E0063,Zhao Tuo divided the territory under his control into the commanderies of Jiaozhi and Jiuzhen,-207,,207 BCE,207 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Culture,L010;L011,Jiaozhi; Jiuzhen,PE006,Zhao Tuo,Zhao Tuo divided the territory under his control into the commanderies of Jiaozhi and Jiuzhen.Chinese annals mark this as the start of Vietnamese history.,Zhao Tuo divided the territory under his control into the commanderies of Jiaozhi and Jiuzhen.Chinese annals mark this as the start of Vietnamese history.,3
E0064,"warlord Xiang Yu led an army into the Qin capital Xianyang, burned the Epang Palace and killed the Qin empe...",-206,,206 BCE,206 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Military,L017,Xianyang,PE007,Xiang Yu,"The warlord Xiang Yu led an army into the Qin capital Xianyang, burned the Epang Palace and killed the Qin emperor Ziying and the royal family.","The warlord Xiang Yu led an army into the Qin capital Xianyang, burned the Epang Palace and killed the Qin emperor Ziying and the royal family.",3
E0065,"Zhao Tuo declared himself king of Nanyue, with his capital in modern Panyu, Guangzhou",-203,,203 BCE,203 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,L015,Panyu / Guangzhou,PE006,Zhao Tuo,"Zhao Tuo declared himself king of Nanyue, with his capital in modern Panyu, Guangzhou.","Zhao Tuo declared himself king of Nanyue, with his capital in modern Panyu, Guangzhou.",5
E0066,Nanyue conquered Guilin,-203,,203 BCE,203 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Other,L016,Guilin,,,Nanyue conquered Guilin.,Nanyue conquered Guilin.,2
E0067,Two delegates were assigned to oversee the affairs of Jiaozhi and Jiuzhen,-198,,198 BCE,198 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Diplomacy,L010;L011,Jiaozhi; Jiuzhen,,,Two delegates were assigned to oversee the affairs of Jiaozhi and Jiuzhen.,Two delegates were assigned to oversee the affairs of Jiaozhi and Jiuzhen.,3
E0068,Han official Lu Jia gave Zhao Tuo a seal recognizing him as king of Nanyue in exchange for his nominal subm...,-196,,196 BCE,196 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,,,PE006;PE008;PE013,Zhao Tuo; Lu Jia; Lü Jia,The Han official Lu Jia gave Zhao Tuo a seal recognizing him as king of Nanyue in exchange for his nominal submission to the Han emperor.,The Han official Lu Jia gave Zhao Tuo a seal recognizing him as king of Nanyue in exchange for his nominal submission to the Han emperor.,4
E0069,"Empress Lü, the Han empress dowager and regent for her grandson Emperor Houshao of Han, ordered a trade blo...",-183,,183 BCE,183 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,,,PE009,Empress Lü,"Empress Lü, the Han empress dowager and regent for her grandson Emperor Houshao of Han, ordered a trade blockade of Nanyue.","Empress Lü, the Han empress dowager and regent for her grandson Emperor Houshao of Han, ordered a trade blockade of Nanyue.",3
E0070,Zhao Tuo sacked the Han capital Chang'an,-183,,183 BCE,183 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Military,L018,Chang'an,PE006,Zhao Tuo,Zhao Tuo sacked the Han capital Chang'an.,Zhao Tuo sacked the Han capital Chang'an.,4
E0071,"nearby polities of Minyue, Yelang and Tongshi declared their allegiance to Nanyue",-183,,183 BCE,183 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Other,,,,,"The nearby polities of Minyue, Yelang and Tongshi declared their allegiance to Nanyue.","The nearby polities of Minyue, Yelang and Tongshi declared their allegiance to Nanyue.",2
E0072,punitive Han invasion of Nanyue stalled after much of the invading army fell to illness,-181,,181 BCE,181 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Military,,,,,A punitive Han invasion of Nanyue stalled after much of the invading army fell to illness.,A punitive Han invasion of Nanyue stalled after much of the invading army fell to illness.,3
E0073,Lü Zhi died,-180,,180 BCE,180 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Territory,,,PE009,Empress Lü,Lü Zhi died. Nanyue conquered some Han territory near the border.,Lü Zhi died. Nanyue conquered some Han territory near the border.,2
E0074,In exchange for the restoration of his family in modern Zhengding County and the withdrawal of Han forces f...,-179,,179 BCE,179 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Military,L019,Zhengding County,PE006,Zhao Tuo,"In exchange for the restoration of his family in modern Zhengding County and the withdrawal of Han forces from the Nanyue border, Zhao Tuo renounced the title emperor and pledged submission to the Han dynasty.","In exchange for the restoration of his family in modern Zhengding County and the withdrawal of Han forces from the Nanyue border, Zhao Tuo renounced the title emperor and pledged submission to the Han dynasty.",4
E0075,Luy Lâu was founded,-179,,179 BCE,179 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,L012,Luy Lâu,,,Luy Lâu was founded.,Luy Lâu was founded.,4
E0076,Zhao Tuo died,-179,,179 BCE,179 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,,,PE006;PE010,Zhao Tuo; Zhao Mo,Zhao Tuo died. He was succeeded as king of Nanyue by his grandson Zhao Mo.,Zhao Tuo died. He was succeeded as king of Nanyue by his grandson Zhao Mo.,4
E0395,Nam Việt was divided into four commanderies,-179,-111,179 BCE,179 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,L015;L010;L011,Phiên Ngung;Giao Chỉ;Cửu Chân,PE006,Triệu Đà,"Nam Việt was described as comprising Nam Hải, Quế Lâm, Giao Chỉ and Cửu Chân.",This row captures administrative structure under Triệu rule.,3
E0077,border war took place between Nanyue and Minyue,-135,,135 BCE,135 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Military,,,,,A border war took place between Nanyue and Minyue.,A border war took place between Nanyue and Minyue.,3
E0078,Zhao Mo died,-122,,122 BCE,122 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,,,PE011;PE010,Zhao Yingqi; Zhao Mo,Zhao Mo died. He was succeeded as king of Nanyue by his eldest son Zhao Yingqi.,Zhao Mo died. He was succeeded as king of Nanyue by his eldest son Zhao Yingqi.,3
E0079,Confucian ideas were introduced to Nanyue,-118,,118 BCE,118 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Religion,,,,,Confucian ideas were introduced to Nanyue.,Confucian ideas were introduced to Nanyue.,2
E0080,Zhao Yingqi died,-115,,115 BCE,115 BCE,,P005,Nanyue / Triệu rule,Regional kingdom / pre-Chinese domination,Politics,,,PE011;PE012,Zhao Yingqi; Zhao Xing,Zhao Yingqi died. He was succeeded by his son Zhao Xing.,Zhao Yingqi died. He was succeeded by his son Zhao Xing.,3
