story_era_id,sequence_order,event_id,event_role,parent_event_id,connector_label,display_title,year_start,year_label,category,importance_score,period_id,period_name,broad_era,people,locations,historical_status,summary
S02,1,E0082,era_anchor,,sets up,Han conquest of Nanyue,-111,111 BCE,Military,5,P006,First Chinese domination,Chinese imperial rule,Zhao Jiande; Shi Dai,Jiaozhi; Jiuzhen,Historical periodization; approximate end at 39/40,"Han conquest of Nanyue: Han forces invaded Nanyue. Zhao Jiande was captured in flight and executed. The zhou of Jiaozhou was organized on the territory of the defunct Nanyue and divided into the commanderies of Nanhai, Cangwu, Yulin, Jiaozhi, Hepu, Zhuya, Taner, and Jiuzhen. Shi Dai was appointed its governor."
S02,2,E0396,connected_event,E0082,connects to,Han assimilation policies intensified in Giao Chỉ,-111,111 BCE,Society,4,P006,First Chinese domination,Chinese imperial rule,,Giao Chỉ;Red River Delta,Historical periodization; approximate end at 39/40,The Han administration increased taxation and altered social/legal structures as part of assimilation policies.
S02,3,E0092,connected_event,E0396,connects to,Trung sisters' rebellion,40,40,Military,4,P007,Trưng Sisters uprising,Resistance / short-lived autonomy,Trưng Trắc; Trưng Nhị,Red River Delta,Historical dates from timeline,Trung sisters' rebellion: The Trưng Sisters launched a rebellion against Han authority in the Red River Delta.
S02,4,E0093,connected_event,E0092,connects to,Trung sisters' rebellion,43,43,Military,4,P008,Second Chinese domination,Chinese imperial rule,Trưng Trắc; Trưng Nhị; Ma Yuan,,Historical periodization,Trung sisters' rebellion: the Trưng Sisters committed suicide by drowning themselves before The Han general Ma Yuan could capture them.
S02,5,E0397,major_event,E0093,leads to,Mã Viện suppressed the Trưng Sisters uprising,43,43,Military,5,P007,Trưng Sisters uprising,Resistance / short-lived autonomy,Hai Bà Trưng;Mã Viện,Giao Chỉ,Historical dates from timeline,Han general Mã Viện suppressed the Trưng Sisters' uprising after three years of autonomy.
S02,6,E0094,connected_event,E0397,connects to,"Sun Quan declared himself emperor, founding the state of Eastern Wu, separating from the Han dynasty",229,229,Politics,4,P008,Second Chinese domination,Chinese imperial rule,Sun Quan,,Historical periodization,"Sun Quan declared himself emperor, founding the state of Eastern Wu, separating from the Han dynasty."
S02,7,E0095,connected_event,E0094,connects to,Lady Triệu uprising,246,246,Military,4,P008,Second Chinese domination,Chinese imperial rule,Lady Triệu,,Historical periodization,Lady Triệu uprising.
S02,8,E0399,major_event,E0095,leads to,Lý Bí uprising began against Liang rule,541,541,Military,5,P008,Second Chinese domination,Chinese imperial rule,Lý Bí,Giao Chỉ;Long Biên,Historical periodization,"Lý Bí rose against Liang rule in 541, preceding the establishment of Vạn Xuân in 544."
S02,9,E0096,major_event,E0399,leads to,"Following his rebellion and expulsion of Liang forces from Jiaozhou, Lý Nam Đế was proclaimed emperor of Vạ...",544,544,Military,5,P009,Vạn Xuân / Early Lý and Triệu Việt Vương,Early independence attempt,Lý Nam Đế,,Historical dates from timeline,"Following his rebellion and expulsion of Liang forces from Jiaozhou, Lý Nam Đế was proclaimed emperor of Vạn Xuân."
S02,10,E0097,connected_event,E0096,connects to,"Liang general Emperor Wu of Chen launched a surprise attack on the Vạn Xuân capital Long Biên, forcing Lý N...",545,545,Politics,4,P009,Vạn Xuân / Early Lý and Triệu Việt Vương,Early independence attempt,Emperor Wu of Chen; Lý Nam Đế,Gia Ninh Citadel; Long Biên; Việt Trì,Historical dates from timeline,"The Liang general Emperor Wu of Chen launched a surprise attack on the Vạn Xuân capital Long Biên, forcing Lý Nam Đế and the imperial administration to flee to the Gia Ninh Citadel in modern Việt Trì."
S02,11,E0098,connected_event,E0097,connects to,"Lý Nam Đế was forced to retreat to Khuất Lão Cave, where he reorganized his army under the command of Triệu...",546,546,Military,4,P009,Vạn Xuân / Early Lý and Triệu Việt Vương,Early independence attempt,Triệu Việt Vương; Lý Nam Đế,Khuất Lão Cave,Historical dates from timeline,"Lý Nam Đế was forced to retreat to Khuất Lão Cave, where he reorganized his army under the command of Triệu Việt Vương."
S02,12,E0099,connected_event,E0098,connects to,Vạn Xuân forces defended Dạ Trạch in modern Khoái Châu District from Liang forces,547,547,Military,4,P009,Vạn Xuân / Early Lý and Triệu Việt Vương,Early independence attempt,,Khoái Châu District; Dạ Trạch,Historical dates from timeline,Vạn Xuân forces defended Dạ Trạch in modern Khoái Châu District from Liang forces.
S02,13,E0101,connected_event,E0099,connects to,Lý Nam Đế was assassinated in modern Laos,548,548,Military,4,P009,Vạn Xuân / Early Lý and Triệu Việt Vương,Early independence attempt,Lý Nam Đế,,Historical dates from timeline,Lý Nam Đế was assassinated in modern Laos.
S02,14,E0102,major_event,E0101,leads to,Triệu Việt Vương expelled Liang forces from Vạn Xuân and reestablished the capital at Long Biên,550,550,Military,5,P009,Vạn Xuân / Early Lý and Triệu Việt Vương,Early independence attempt,Triệu Việt Vương,Long Biên,Historical dates from timeline,Triệu Việt Vương expelled Liang forces from Vạn Xuân and reestablished the capital at Long Biên.
S02,15,E0402,turning_point,E0102,turns toward next era,Khúc Thừa Dụ occupied Đại La and began Vietnamese autonomy,905,905,Politics,5,P010,Third Chinese domination / Annam period,Chinese imperial rule,Khúc Thừa Dụ,Đại La,Historical periodization,"Khúc Thừa Dụ took control of Đại La as Tang power weakened, beginning a period of Vietnamese self-rule."
S03,1,E0109,era_anchor,,sets up,Battle of Bạch Đằng,938,938,Military,5,P011,Ngô dynasty and Twelve Warlords transition,Independent dynasties,Ngô Quyền,Bạch Đằng River; Hải Phòng,Historical periodization,"Battle of Bạch Đằng: Ngô Quyền defeated the Southern Han kingdom at the Battle of Bạch Đằng north of modern Haiphong and ended 1,000 years of Chinese domination dating back to 111 BC under the Han dynasty, founding the Ngô dynasty."
S03,2,E0408,major_event,E0109,leads to,Ngô Quyền proclaimed himself king,939,939,Politics,5,P011,Ngô dynasty and Twelve Warlords transition,Independent dynasties,Ngô Quyền,Cổ Loa;Bạch Đằng River,Historical periodization,"After defeating Southern Han, Ngô Quyền proclaimed himself king in 939."
S03,3,E0409,major_event,E0408,leads to,Đinh Bộ Lĩnh founded Đại Cồ Việt,968,968,Politics,5,P012,Đinh dynasty / Đại Cồ Việt,Independent dynasties,Đinh Bộ Lĩnh,Hoa Lư,Historical periodization,"Đinh Bộ Lĩnh proclaimed himself emperor, founded the Đinh dynasty and named the country Đại Cồ Việt."
S03,4,E0111,connected_event,E0409,connects to,Emperor Đinh Bộ Lĩnh of Đại Cồ Việt was assassinated along with his crown prince Đinh Liễn by a minor palac...,979,979,Military,4,P012,Đinh dynasty / Đại Cồ Việt,Independent dynasties,Đinh Bộ Lĩnh; Đinh Phế Đế; Đinh Liễn; Lê Hoàn,,Historical periodization,"Emperor Đinh Bộ Lĩnh of Đại Cồ Việt was assassinated along with his crown prince Đinh Liễn by a minor palace official. His surviving son, the young Đinh Phế Đế, succeeded him under the regency of the commander-in-chief Lê Hoàn."
S03,5,E0410,major_event,E0111,leads to,Lê Hoàn founded the Early Lê dynasty,980,980,Politics,5,P013,Early Lê dynasty,Independent dynasties,Lê Hoàn,Hoa Lư,Historical periodization,Lê Hoàn came to the throne and founded the Early Lê dynasty.
S03,6,E0115,major_event,E0410,leads to,Lê Hoàn declared himself emperor at Hoa Lư,981,981,Politics,5,P013,Early Lê dynasty,Independent dynasties,Lê Hoàn,Hoa Lư,Historical periodization,Lê Hoàn declared himself emperor at Hoa Lư.
S03,7,E0423,major_event,E0115,leads to,Nam tiến expanded Đại Việt southward to Cù Mông,1000,1000,Territory,5,P018,Later Lê dynasty / early consolidated Lê,Independent dynasties,,Hoành Sơn,Historical periodization,"Through war and political marriage with Champa, Đại Việt expanded from Hoành Sơn toward Cù Mông from the 11th to 15th centuries."
S03,8,E0411,major_event,E0423,leads to,Lý Thánh Tông renamed the country Đại Việt,1054,1054,Politics,5,P014,Lý dynasty,Independent dynasties,Lý Thánh Tông,Thăng Long,Historical periodization,Lý Thánh Tông changed the country name to Đại Việt in 1054.
S03,9,E0133,major_event,E0411,leads to,Mongol invasions of Vietnam,1258,1258,Military,5,P015,Trần dynasty,Independent dynasties,Trần Thái Tông,"Cổ Loa Citadel; Tống Bình / Đại La; Thăng Long; Hanoi; Temple of Literature, Hanoi; Đông Quan; Đông Kinh; Ngọc Hồi-Đống Đa",Historical periodization,Mongol invasions of Vietnam: The Mongol Empire invaded Đại Việt and conquered the capital at modern Hanoi. Trần Thái Tông fled to an island.
S03,10,E0137,major_event,E0133,leads to,Mongol invasions of Vietnam,1285,1285,Military,5,P015,Trần dynasty,Independent dynasties,Trần Hưng Đạo,,Historical periodization,"Mongol invasions of Vietnam: The Đại Việt commander-in-chief Trần Hưng Đạo drew out and harassed a Yuan invasion force, forcing their retreat."
S03,11,E0138,major_event,E0137,leads to,Mongol invasions of Vietnam,1287,1287,Military,5,P015,Trần dynasty,Independent dynasties,,,Historical periodization,"Mongol invasions of Vietnam: The Mongol navy was destroyed, forcing the army, left without provisions, to begin its retreat from Đại Việt."
S03,12,E0143,major_event,E0138,leads to,"Hồ Quý Ly overthrew the Đại Việt emperor, enthroned himself, renamed the country Đại Ngu and moved the capi...",1400,1400,Politics,5,P016,Hồ dynasty / Đại Ngu,Dynastic transition,Hồ Quý Ly,Citadel of the Hồ Dynasty,Historical dates from timeline,"Hồ Quý Ly overthrew the Đại Việt emperor, enthroned himself, renamed the country Đại Ngu and moved the capital to the citadel of the Hồ dynasty."
S03,13,E0146,major_event,E0143,leads to,Ming–Hồ War,1406,1406,Military,5,P016,Hồ dynasty / Đại Ngu,Dynastic transition,,,Historical dates from timeline,Ming–Hồ War: Ming forces captured the Đại Ngu capitals.
S03,14,E0416,major_event,E0146,leads to,Ming occupation of Đại Việt began,1407,1407,Politics,5,P017,Ming occupation and Lam Sơn uprising,Foreign rule / resistance,Hồ Quý Ly,Đông Quan,Historical periodization,Ming forces invaded Đại Ngu and began the fourth period of Chinese domination.
S03,15,E0147,turning_point,E0416,turns toward next era,Lê Lợi was declared emperor of an independent Đại Việt,1428,1428,Politics,5,P018,Later Lê dynasty / early consolidated Lê,Independent dynasties,Lê Lợi,,Historical periodization,Lê Lợi was declared emperor of an independent Đại Việt.
S04,1,E0158,era_anchor,,sets up,"Mạc Đăng Dung forced Emperor Lê Cung Hoàng to abdicate, establishing the Mạc dynasty",1527,1527,Politics,4,P019,Mạc dynasty and Lê–Mạc conflict,Dynastic conflict,Lê Cung Hoàng; Mạc Đăng Dung,,Historical periodization,"Mạc Đăng Dung forced Emperor Lê Cung Hoàng to abdicate, establishing the Mạc dynasty."
S04,2,E0418,connected_event,E0158,connects to,Lê Trung Hưng restored with Nguyễn Kim's support,1533,1533,Politics,4,P019,Mạc dynasty and Lê–Mạc conflict,Dynastic conflict,Nguyễn Kim,Thanh Hóa,Historical periodization,"The Later Lê restoration began in 1533 with help from Nguyễn Kim, controlling territory from Thanh Hóa toward Bình Định."
S04,3,E0419,connected_event,E0418,connects to,Nguyễn Hoàng entered Thuận Hóa and laid foundation for Đàng Trong,1558,1558,Politics,4,P020,Restored Lê and Trịnh–Nguyễn division,Divided rule,Nguyễn Hoàng,Thuận Hóa;Quảng Nam,Historical periodization,"Nguyễn Hoàng moved to Thuận Hóa, beginning the process that later formed the Nguyễn lords' southern base."
S04,4,E0421,connected_event,E0419,connects to,Global trade expanded in Đàng Ngoài and Đàng Trong,1600,1600,Economy,4,P020,Restored Lê and Trịnh–Nguyễn division,Divided rule,,Thăng Long;Hội An;Sài Gòn,Historical periodization,"European, Japanese and Chinese merchants traded in Đại Việt, including at Kẻ Chợ and Faifo/Hội An."
S04,5,E0426,connected_event,E0421,connects to,Nguyễn administration began exploiting and controlling Hoàng Sa,1600,1600,Territory,4,P020,Restored Lê and Trịnh–Nguyễn division,Divided rule,,Hoàng Sa,Historical periodization,The source states that Hoàng Sa was exploited and controlled from the early 17th century.
S04,6,E0420,major_event,E0426,leads to,Đàng Ngoài and Đàng Trong divided along the Gianh River,1627,1627,Politics,5,P020,Restored Lê and Trịnh–Nguyễn division,Divided rule,Trịnh Kiểm;Nguyễn Hoàng,Sông Gianh,Historical periodization,"The Trịnh–Nguyễn conflict produced two separate political zones, Đàng Ngoài and Đàng Trong, divided by the Gianh River."
S04,7,E0424,major_event,E0420,leads to,Nguyễn lords annexed remaining Champa territory,1693,1693,Territory,5,P020,Restored Lê and Trịnh–Nguyễn division,Divided rule,,Bình Thuận,Historical periodization,The Nguyễn lords annexed the remaining Cham territory from Phú Yên to Bình Thuận in 1693.
S04,8,E0425,major_event,E0424,leads to,Nguyễn lords established control over Nam Bộ,1698,1698,Territory,5,P020,Restored Lê and Trịnh–Nguyễn division,Divided rule,,Nam Kỳ;Gia Định,Historical periodization,"From 1698 to 1757, the Nguyễn administration gradually established control over Nam Bộ."
S04,9,E0430,major_event,E0425,leads to,Tây Sơn uprising began in Quy Nhơn,1771,1771,Military,5,P021,Tây Sơn period,Rebellion / dynastic replacement,Nguyễn Văn Huệ,Quy Nhơn,Historical periodization from timeline milestones,The Tây Sơn uprising began in Quy Nhơn and grew into a movement that defeated the Nguyễn and Trịnh regimes.
S04,10,E0163,major_event,E0430,leads to,Nguyễn Văn Nhạc proclaimed himself emperor of Đại Việt with his capital at Quy Nhơn,1778,1778,Politics,5,P021,Tây Sơn period,Rebellion / dynastic replacement,Nguyễn Văn Nhạc,Quy Nhơn,Historical periodization from timeline milestones,Nguyễn Văn Nhạc proclaimed himself emperor of Đại Việt with his capital at Quy Nhơn.
S04,11,E0431,major_event,E0163,leads to,Tây Sơn movement ended the Trịnh–Nguyễn division,1786,1786,Politics,5,P021,Tây Sơn period,Rebellion / dynastic replacement,Nguyễn Văn Huệ,Thăng Long;Phú Xuân;Gia Định,Historical periodization from timeline milestones,"The Tây Sơn movement defeated both northern and southern ruling houses, ending the long division of the country."
S04,12,E0171,turning_point,E0431,turns toward next era,Nguyễn Văn Nhạc's younger brother Nguyễn Văn Huệ proclaimed himself emperor of Đại Việt,1788,1788,Politics,5,P021,Tây Sơn period,Rebellion / dynastic replacement,Nguyễn Văn Nhạc; Nguyễn Văn Huệ,,Historical periodization from timeline milestones,"Nguyễn Văn Nhạc's younger brother Nguyễn Văn Huệ proclaimed himself emperor of Đại Việt. Nguyễn Văn Nhạc relinquished the title, taking that of king instead."
S05,1,E0180,era_anchor,,sets up,"Emperor Cảnh Thịnh died, Emperor Gia Long became ruler of Vietnam",1802,1802,Politics,4,P022,Nguyễn dynasty / independent monarchy,Monarchy,Nguyễn Thế Tổ; Nguyễn Quang Toản,,Historical periodization,"Emperor Cảnh Thịnh died, Emperor Gia Long became ruler of Vietnam."
S05,2,E0433,connected_event,E0180,connects to,Nguyễn dynasty built and ruled from Huế,1802,1802,Politics,4,P022,Nguyễn dynasty / independent monarchy,Monarchy,Gia Long;Minh Mạng,Huế;Huế Imperial City,Historical periodization,Gia Long established Huế as the Nguyễn capital and built a centralized monarchy continued by Minh Mạng.
S05,3,E0432,major_event,E0433,leads to,Gia Long changed the country name to Việt Nam,1804,1804,Politics,5,P022,Nguyễn dynasty / independent monarchy,Monarchy,Gia Long,Huế,Historical periodization,Gia Long changed the country name from Đại Việt to Việt Nam in 1804.
S05,4,E0184,major_event,E0432,leads to,Emperor Gia Long (1802–1820) ended his rule of Vietnam,1815,1815,Politics,5,P022,Nguyễn dynasty / independent monarchy,Monarchy,Nguyễn Thế Tổ,,Historical periodization,Emperor Gia Long (1802–1820) ended his rule of Vietnam.
S05,5,E0429,connected_event,E0184,connects to,Nguyễn dynasty asserted control over Trường Sa,1816,1816,Territory,4,P022,Nguyễn dynasty / independent monarchy,Monarchy,Gia Long,Trường Sa,Historical periodization,The source states that Trường Sa was controlled from 1816.
S05,6,E0434,connected_event,E0429,connects to,Nguyễn court restricted Catholicism and foreign trade,1820,1820,Religion,4,P022,Nguyễn dynasty / independent monarchy,Monarchy,Minh Mạng;Thiệu Trị;Tự Đức,Huế,Historical periodization,"The Nguyễn court under Minh Mạng, Thiệu Trị and Tự Đức restricted Catholicism and continued limits on foreign trade."
S05,7,E0189,connected_event,E0434,connects to,Emperor Minh Mạng (1820–1841) ended his rule of Vietnam,1833,1833,Politics,4,P022,Nguyễn dynasty / independent monarchy,Monarchy,Minh Mạng,,Historical periodization,Emperor Minh Mạng (1820–1841) ended his rule of Vietnam.
S05,8,E0193,connected_event,E0189,connects to,Emperor Thiệu Trị (1841–1847) ended his rule of Vietnam,1847,1847,Politics,4,P022,Nguyễn dynasty / independent monarchy,Monarchy,Thiệu Trị,,Historical periodization,Emperor Thiệu Trị (1841–1847) ended his rule of Vietnam.
S05,9,E0435,major_event,E0193,leads to,French conquest expanded from Nam Kỳ into Bắc Kỳ and Trung Kỳ,1873,1873,Military,5,P023,French conquest and early colonial takeover,Colonial conquest,Tự Đức,Nam Kỳ;Hanoi;Huế,Historical periodization,"After taking Nam Kỳ, France expanded into the rest of Vietnam through complex conflicts in Bắc Kỳ from 1873 to 1886."
S05,10,E0436,major_event,E0435,leads to,French colonial administration was formalized,1887,1887,Politics,5,P024,French colonial Vietnam / French Indochina,Colonial period,,Nam Kỳ;Hanoi;Huế,Historical periodization,"By 1887, France had organized a relatively complete colonial administration under the Indochina Governor-General system."
S05,11,E0217,major_event,E0436,leads to,Communist Party of Vietnam (CPV) is the founding and ruling communist party of the Socialist Republic of Vi...,1930,1930,Other,5,P024,French colonial Vietnam / French Indochina,Colonial period,,South Vietnam,Historical periodization,Communist Party of Vietnam (CPV) is the founding and ruling communist party of the Socialist Republic of Vietnam.
S05,12,E0443,major_event,E0217,leads to,Việt Minh was founded,1941,1941,Politics,5,P024,French colonial Vietnam / French Indochina,Colonial period,Hồ Chí Minh,Pắc Bó,Historical periodization,Việt Minh was founded in 1941 as an independence front led from Pắc Bó by Hồ Chí Minh after his return to Vietnam.
S05,13,E0444,major_event,E0443,leads to,Japanese coup ended French colonial administration in Indochina,1945,1945,Military,5,P024,French colonial Vietnam / French Indochina,Colonial period,Bảo Đại;Trần Trọng Kim,Hanoi;Huế;Saigon,Historical periodization,Japan overthrew French colonial administration in March 1945 and backed the Empire of Vietnam.
S05,14,E0446,turning_point,E0444,turns toward next era,Ất Dậu famine devastated northern and central Vietnam,1945,1945,Society,5,P024,French colonial Vietnam / French Indochina,Colonial period,,North Vietnam,Historical periodization,The 1945 famine affected Bắc Kỳ and Trung Kỳ; the source gives an estimate of about two million deaths.
S06,1,E0218,era_anchor,,sets up,Empire of Vietnam is established under Japanese sponsorship,1945,1945,Politics,4,P025,August Revolution and First Indochina War,Independence and decolonization,,,Historical periodization,The Empire of Vietnam is established under Japanese sponsorship.
S06,2,E0219,major_event,E0218,leads to,August Revolution by the Viet Minh,1945,1945,Politics,5,P025,August Revolution and First Indochina War,Independence and decolonization,Bảo Đại,,Historical periodization,August Revolution by the Viet Minh. Emperor Bảo Đại abdicates. Civil conflicts in Vietnam (1945–1949) begins.
S06,3,E0220,connected_event,E0219,connects to,"Allied forces disarm the Japanese in Indochina after World War II, with British-Indian troops operating sou...",1945,1945,Military,3,P025,August Revolution and First Indochina War,Independence and decolonization,,,Historical periodization,"Allied forces disarm the Japanese in Indochina after World War II, with British-Indian troops operating south of the 16th parallel and Chinese nationalist forces operating north of the 16th parallel."
S06,4,E0448,major_event,E0220,leads to,Hồ Chí Minh declared the Democratic Republic of Vietnam,1945,1945,Politics,5,P025,August Revolution and First Indochina War,Independence and decolonization,Hồ Chí Minh,Hanoi,Historical periodization,"On 2 September 1945, Hồ Chí Minh declared the independent Democratic Republic of Vietnam in Hanoi."
S06,5,E0449,connected_event,E0448,connects to,First national election of the Democratic Republic of Vietnam,1946,1946,Politics,4,P025,August Revolution and First Indochina War,Independence and decolonization,Hồ Chí Minh,North Vietnam,Historical periodization,"A nationwide election was held in early 1946, helping formalize the Democratic Republic of Vietnam's government."
S06,6,E0450,major_event,E0449,leads to,First Indochina War began,1946,1946,Military,5,P025,August Revolution and First Indochina War,Independence and decolonization,Hồ Chí Minh,Hanoi,Historical periodization,War between the Democratic Republic of Vietnam and France broke out in December 1946 after failed negotiations.
S06,7,E0221,connected_event,E0450,connects to,State of Vietnam is established within the French Union,1949,1949,Politics,4,P025,August Revolution and First Indochina War,Independence and decolonization,,,Historical periodization,The State of Vietnam is established within the French Union.
S06,8,E0451,turning_point,E0221,turns toward next era,China and the Soviet Union began supporting the Democratic Republic of Vietnam,1950,1950,Diplomacy,4,P025,August Revolution and First Indochina War,Independence and decolonization,Hồ Chí Minh,North Vietnam,Historical periodization,"In 1950, China and the Soviet Union began supplying weapons to the Democratic Republic of Vietnam, while France was backed by the United States."
S07,1,E0454,era_anchor,,sets up,Land reform carried out in North Vietnam,1953,1953,Economy,4,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,Hồ Chí Minh,North Vietnam,Historical periodization,"North Vietnam carried out land reform in the 1950s, redistributing land but also causing social disruption."
S07,2,E0222,major_event,E0454,leads to,Battle of Dien Bien Phu,1954,1954,Military,5,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,Điện Biên Phủ,Historical periodization,Battle of Dien Bien Phu: French troops begin the battle against the Viet Minh in Dien Bien Phu.
S07,3,E0225,major_event,E0222,leads to,Battle of Dien Bien Phu ends in a French defeat,1954,1954,Military,5,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,Điện Biên Phủ,Historical periodization,Battle of Dien Bien Phu ends in a French defeat.
S07,4,E0226,major_event,E0225,leads to,"Geneva Conference sends French Union forces to the south, and Viet Minh forces to the north, of a ceasefire...",1954,1954,Military,5,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,North Vietnam; South Vietnam; Geneva,Historical periodization,"The Geneva Conference sends French Union forces to the south, and Viet Minh forces to the north, of a ceasefire line, and calls for elections to decide the government for all of Vietnam by July 1956. Failure to abide by the terms of the agreement leads to the establishment de facto of regimes of North Vietnam and South Vietnam, and the Vietnam War."
S07,5,E0452,major_event,E0226,leads to,Geneva settlement temporarily divided Vietnam at the 17th parallel,1954,1954,Diplomacy,5,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,Hồ Chí Minh,Geneva;North Vietnam;South Vietnam,Historical periodization,The Geneva settlement created temporary military regrouping zones north and south of the 17th parallel and called for future elections.
S07,6,E0453,connected_event,E0452,connects to,Post-Geneva migration and regroupment took place,1954,1954,Society,4,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,North Vietnam;South Vietnam,Historical periodization,"After Geneva, large population movements and military regroupments took place between North and South Vietnam."
S07,7,E0228,connected_event,E0453,connects to,Ngô Đình Diệm proclaims Vietnam to be a republic with himself as its President (following the State of Viet...,1955,1955,Military,4,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,Ngô Đình Diệm,South Vietnam,Historical periodization,Ngô Đình Diệm proclaims Vietnam to be a republic with himself as its President (following the State of Vietnam referendum on 23 October) and forms the Army of the Republic of Vietnam.
S07,8,E0229,connected_event,E0228,connects to,Vietnam War begins between North Vietnam and South Vietnam; the north is allied with the Viet Cong,1955,1955,Military,4,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,North Vietnam; South Vietnam,Historical periodization,The Vietnam War begins between North Vietnam and South Vietnam; the north is allied with the Viet Cong.
S07,9,E0455,major_event,E0229,leads to,Planned 1956 national election did not take place,1956,1956,Politics,5,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,Ngô Đình Diệm;Hồ Chí Minh,North Vietnam;South Vietnam,Historical periodization,The planned post-Geneva election to unify Vietnam did not happen.
S07,10,E0456,major_event,E0455,leads to,National Liberation Front formed in South Vietnam,1960,1960,Politics,5,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,South Vietnam,Historical periodization,The National Liberation Front was established in South Vietnam with support from North Vietnam.
S07,11,E0233,connected_event,E0456,connects to,"American involvement in the Vietnam War officially begins, as the first American helicopters arrive in Saig...",1961,1961,Military,4,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,Gia Định; Saigon; Xá Lợi Pagoda,Historical periodization,"The American involvement in the Vietnam War officially begins, as the first American helicopters arrive in Saigon along with 400 U.S. personnel."
